TC_ID,2018_Total_A,2018_Can_A,2018_LowVeg_A,2018_Barren_A,2018_Water_A,2018_Build_A,2018_Road_A,2018_Shrub_A,2018_Wetlands_A,2018_Imperv_A,2013_Total_A,2013_Can_A,2013_LowVeg_A,2013_Barren_A,2013_Water_A,2013_Build_A,2013_Road_A,2013_Shrub_A,2013_Wetlands_A,2013_Imperv_A,Can_PChange,LowVeg_Pchange,Barren_Pchange,Water_Pchange,Build_Pchange,Road_Pchange,Shrub_Pchange,Wetlands_Pchange,Imperv_Pchange
141,1799,1767,32,0,0,0,0,0,0,0,1799,1767,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1798,1737,61,0,0,0,0,0,0,0,1798,1737,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,26099,69,18163,0,0,1856,2126,0,0,3885,26099,41,18185,0,0,1856,2126,0,0,3891,68.29268293,-0.120978829,0,0,0,0,0,0,-0.154202005
144,902,902,0,0,0,0,0,0,0,0,902,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,899,347,552,0,0,0,0,0,0,0,899,347,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,7196,5889,1307,0,0,0,0,0,0,0,7196,5877,1319,0,0,0,0,0,0,0,0.204185809,-0.909780136,0,0,0,0,0,0,0
147,90891,89164,91,0,1629,7,0,0,0,0,90891,89164,91,0,1629,7,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2703,2703,0,0,0,0,0,0,0,0,2703,2703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2701,1119,740,0,0,210,388,0,0,244,2701,1102,751,0,0,210,391,0,0,247,1.542649728,-1.464713715,0,0,0,-0.767263427,0,0,-1.214574899
150,2701,2339,362,0,0,0,0,0,0,0,2701,2339,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,896,896,0,0,0,0,0,0,0,0,896,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2698,2148,550,0,0,0,0,0,0,0,2698,2148,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,900,700,200,0,0,0,0,0,0,0,900,700,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,899,327,572,0,0,0,0,0,0,0,899,320,579,0,0,0,0,0,0,0,2.1875,-1.208981002,0,0,0,0,0,0,0
155,904,537,359,0,0,0,8,0,0,0,904,537,359,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
156,14402,14337,65,0,0,0,0,0,0,0,14402,14337,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,896,826,33,0,0,0,37,0,0,0,896,826,33,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
158,49075,42727,4198,0,0,0,107,0,0,2043,49075,42727,4198,0,0,0,107,0,0,2043,0,0,0,0,0,0,0,0,0
159,898,475,423,0,0,0,0,0,0,0,898,475,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,897,897,0,0,0,0,0,0,0,0,897,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2698,2698,0,0,0,0,0,0,0,0,2698,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1803,1438,365,0,0,0,0,0,0,0,1803,1438,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,898,0,0,0,898,0,0,0,0,0,898,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,898,898,0,0,0,0,0,0,0,0,898,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,899,899,0,0,0,0,0,0,0,0,899,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1800,1333,467,0,0,0,0,0,0,0,1800,1333,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,898,898,0,0,0,0,0,0,0,0,898,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,901,555,346,0,0,0,0,0,0,0,901,555,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,1797,1280,0,0,517,0,0,0,0,0,1797,1280,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,6305,2484,3347,0,0,247,24,0,0,203,6305,2461,3211,0,0,247,24,0,0,362,0.934579439,4.235440673,0,0,0,0,0,0,-43.92265193
171,897,122,0,0,775,0,0,0,0,0,897,122,0,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,899,899,0,0,0,0,0,0,0,0,899,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
