GENZONE,JURSCODE,ZONING,MUNICIPALITY_NAME,ACRES,TC_ID,TC_Percent_Change,LowVeg_Percent_Change,Barren_Percent_Change,Water_Percent_Change,Building_Percent_Change,Road_Percent_Change,Shrub_Percent_Change,Wetlands_Percent_Change,Imperv_Percent_Change,TC_Area_Acres_Change,LowVeg_Area_Acres_Change,Barren_Area_Acres_Change,Water_Area_Acres_Change,Buildings_Area_Acres_Change,Road_Area_Acres_Change,Shrub_Area_Acres_Change,Wetlands_Area_Acres_Change,Impervious_Area_Acres_Change,TC_OutsideForest_A_Acres_2013,TC_InsideForest_A_Acres_2013,TC_OutsideForest_A_Acres_2018,TC_InsideForest_A_Acres_2018,TC_InsideForestChange_acres,TC_OutsideForestChange_acres
LOW DENSITY RESIDENTIAL,WICO,A-1,,185203.5174,115,0.656901383,-0.799573598,0.061397592,0.005507521,0.049686706,0.000416573,-0.06112299,-0.000569886,0.087356699,1216.532996,-1480.751434,113.7038201,10.19952249,92.01612043,0.771463059,-113.1952772,-1.055387163,161.7781756,49270.13804,50674.04952,50885.14313,50275.57743,-398.4720921,1615.005088
COMMERCIAL,WASH,BL,,2.51671039,117,0.049096622,-0.049096622,0,0,0,0,0,0,0,0.001235527,-0.001235527,0,0,0,0,0,0,0,1.291125394,0.199661484,1.295324357,0.196698049,-0.002963436,0.004198963
INDUSTRIAL,WASH,AP,,1038.825361,118,0.529460267,-0.680500133,0.100487067,0,0.038134652,0,0,0,0.012418146,5.499577782,-7.068449967,1.04377321,0,0.396109956,0,0,0,0.128989019,70.35920296,2.630790095,75.85878074,2.630790095,0,5.499577782
VERY LOW DENSITY RESIDENTIAL,WASH,A(R),,53010.17346,119,-0.234943544,0.116042939,0.037774428,-0.002615214,0.031087892,-3.22E-05,-0.000664877,0,0.053350546,-124.5156697,61.50058037,20.01973819,-1.386014189,16.47599965,-0.017050273,-0.3523723,0,28.27478829,10500.94173,2646.715229,10391.42734,2631.713947,-15.00128224,-109.5143875
RURAL LOW DENSITY RESIDENTIAL,WASH,EC,,84810.59523,120,-0.087597208,-0.264569143,0.052658197,0.002548147,0.016968393,-0.000775878,0.25684624,0,0.023921252,-74.20970531,-224.1349762,44.61043207,2.158712774,14.37510954,-0.657300364,217.5923666,0,20.26536096,15269.95961,41819.75132,15294.87794,41720.62328,-99.12803744,24.91833213
RURAL LOW DENSITY RESIDENTIAL,WASH,P,,67045.17907,121,-0.068413767,0.043072993,-0.009673666,0.002856028,0.011674068,-0.000668157,0.000186359,0,0.020966141,-45.71993532,28.78506094,-6.464771475,1.90864211,7.801611689,-0.446519458,0.124541122,0,14.01137039,8947.918004,35074.52924,8950.536892,35026.19042,-48.33882325,2.61888793
RURAL LOW DENSITY RESIDENTIAL,WASH,P,,3511.583566,122,-0.139232084,0.133764414,0,-0.000394066,0.003687335,-0.001421454,0,0,0.003595855,-4.889227444,4.697226549,0,-0.013837902,0.12948323,-0.049915291,0,0,0.126270859,878.364425,230.7886726,873.4740863,230.7897839,0.001111288,-4.890338733
RURAL LOW DENSITY RESIDENTIAL,WASH,P,,881.0159408,123,-0.006703654,0.003057315,-0.00112195,0,0.007741458,-0.001710974,0,0,-0.001262194,-0.059058191,0.026934489,-0.009884216,0,0.06820109,-0.015073429,0,0,-0.011119743,212.8012585,15.84437972,212.7481272,15.83845285,-0.005926872,-0.053131319
RURAL LOW DENSITY RESIDENTIAL,WASH,P,,521.4658025,124,-0.200826526,0.162490363,0,-4.74E-05,0.024783453,-0.000426484,0,0,0.014026581,-1.047232685,0.847324417,0,-0.000247105,0.129236124,-0.002223949,0,0,0.073143198,75.26287001,394.7607592,75.18208781,393.7943087,-0.966450487,-0.080782198
RURAL LOW DENSITY RESIDENTIAL,WASH,EC,,13.77979655,125,0.034061777,-0.580842939,0,0,0.001792725,0,0,0,0.544988437,0.004695003,-0.08006215,0,0,0.000247105,0,0,0,0.075120042,6.724374032,0.430068615,6.729069034,0.430068615,0,0.004695003
RURAL LOW DENSITY RESIDENTIAL,WASH,P,,103.5845577,126,0.011927054,-0.102572666,0,0,-0.000715623,-0.001192705,0,0,0.09255394,0.01235527,-0.106255322,0,0,-0.000741316,-0.001235527,0,0,0.095876895,22.47569479,75.62984402,22.48805006,75.62984402,2.42E-13,0.01235527
LOW DENSITY RESIDENTIAL,WASH,RV,,3.10837985,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111367506,1.018681042,1.111367506,1.018681042,2.44E-15,-2.44E-15
VERY LOW DENSITY RESIDENTIAL,WASH,A(R),,1422.290617,128,-1.894889231,-3.160644934,4.427182516,0.281441213,-0.037686504,-0.001094629,0,0,0.385691569,-26.94882071,-44.950202,62.96270303,4.002613269,-0.535971613,-0.01556764,0,0,5.485245669,377.6245113,26.64980735,351.4524811,25.87301676,-0.776790598,-26.17203011
RURAL LOW DENSITY RESIDENTIAL,WASH,EC,,3413.3507,129,-0.968915389,-0.386240561,1.398907812,-0.048757248,0.001499443,0,-7.97E-05,0,0.003585624,-33.0528183,-13.17590703,47.72124195,-1.663266447,0.051150818,0,-0.002718159,0,0.122317173,797.2353556,1989.316641,768.2709674,1985.228211,-4.08843006,-28.96438824
RURAL LOW DENSITY RESIDENTIAL,WASH,P,,7.80235833,130,0.003168869,-0.057039643,0,0,0,0,0,0,0.053870774,0.000247105,-0.004447897,0,0,0,0,0,0,0.004200792,2.995309767,2.637457826,2.995556873,2.637457826,0,0.000247105
RURAL LOW DENSITY RESIDENTIAL,WASH,EC,,545.2065284,132,-0.882526119,0.400332341,-0.009473444,-0.000226637,0.199803551,0.142781575,0,0,0.149308733,-4.811142138,2.182434893,-0.051645029,-0.001235527,1.089240603,0.77838201,0,0,0.813965188,125.0526416,308.499219,120.6000752,308.1406433,-0.358575727,-4.452566411
RURAL LOW DENSITY RESIDENTIAL,WASH,P,,62.91249036,133,0.003536165,-0.111192749,-0.003536165,0,0.108049491,0,0,0,0.003143258,0.002223949,-0.069930828,-0.002223949,0,0.067953985,0,0,0,0.001976843,14.29961664,1.798064647,14.32295506,1.776950167,-0.02111448,0.023338428
LOW DENSITY RESIDENTIAL,WASH,RV,,179.1933884,134,-0.060261067,-0.400591303,0.113765172,-0.001654766,0.075429757,-0.002482149,0,0,0.275794357,-0.10798506,-0.717841187,0.203861955,-0.002965265,0.135166654,-0.004447897,0,0,0.4942108,45.82310609,6.612906897,45.71512103,6.612906897,2.40E-14,-0.10798506
MEDIUM DENSITY RESIDENTIAL,WASH,RS,,382.208534,138,0.277105739,-1.436346497,-0.043059361,0,0.976206147,0.040731828,0,0,0.185362145,1.059093744,-5.489693566,-0.164572196,0,3.731044435,0.155676402,0,0,0.708451182,48.55861965,0.098904668,49.61771339,0.098904668,2.50E-16,1.059093744
COMMERCIAL,WASH,ERT,,314.1590764,139,-0.790822588,-0.194775363,-0.00117998,0,0.152374749,0.483555799,0,0,0.350847383,-2.484150586,-0.61183297,-0.003706581,0,0.47864316,1.518956894,0,0,1.102090084,127.384559,72.85903158,125.8438923,71.91554772,-0.94348386,-1.540666726
INDUSTRIAL,WASH,ORI,,705.6629546,140,-1.01628842,-1.005607604,0.13100634,-0.00038521,0.248215166,1.048190792,0,0,0.594868936,-7.171245813,-7.095878666,0.924421301,-0.002718159,1.751483075,7.396358833,0,0,4.19757943,208.453505,15.55099958,201.2822592,15.55099958,2.31E-14,-7.171245813
MIXED USE,WASH,SED,,616.4809542,141,0.218956713,-0.214266501,0,-0.001082357,0.033593139,-0.002485411,0,0,-0.034715583,1.349689695,-1.320778363,0,-0.006671846,0.207074325,-0.015320535,0,0,-0.213993276,91.55313348,281.5990013,92.0760246,282.4257999,0.826798577,0.522891118
COMMERCIAL,TALB,GC,,121.4197388,142,-0.075695914,-0.441559499,0,0,0.009156764,-0.001220902,0,0,0.509319551,-0.091923209,-0.536218718,0,0,0.011119743,-0.001482632,0,0,0.618504816,21.56200073,0.12594602,21.47007752,0.12594602,2.50E-16,-0.091923209
COMMERCIAL,TALB,LC,,152.0463802,143,0.369215969,-1.255366795,0.41780557,-0.000975042,0.127893031,0,0,-0.000487521,0.341914788,0.561423469,-1.908889215,0.635307983,-0.001482632,0.19447195,0,0,-0.000741316,0.519909762,39.65675113,1.868075817,40.21817459,1.868075817,4.88E-15,0.561423469
INDUSTRIAL,TALB,LI,,589.110686,144,0.159713187,-0.498977886,0.088580423,0,-0.112570955,-0.000545239,0,0,0.363800469,0.940977363,-2.939812944,0.521886605,0,-0.663230894,-0.00321237,0,0,2.14339224,101.3041632,29.97626399,102.2347685,29.98663602,0.010372025,0.930605338
RURAL LOW DENSITY RESIDENTIAL,TALB,AC,,60582.50467,145,-0.112486338,-0.005648217,0.054971107,0.026626432,0.012465719,-0.000617882,-0.020653165,0,0.045342344,-68.15364616,-3.422162685,33.30610134,16.13252314,7.552776551,-0.374364681,-12.51341746,0,27.47218995,9186.256055,8036.1047,9205.122959,7949.084149,-87.02055022,18.86690405
RURAL LOW DENSITY RESIDENTIAL,TALB,CP,,10108.30231,146,0.171813309,-1.012373687,-0.024289499,0.0533577,0.011336892,-0.000149105,0.125619997,0,0.674684393,17.36903857,-102.3433964,-2.45548636,5.394063777,1.146074845,-0.015073429,12.69924072,0,68.2055383,2036.581673,2166.9698,2056.870437,2164.050075,-2.919725082,20.28876365
RURAL LOW DENSITY RESIDENTIAL,TALB,TC,,3809.130038,147,0.368008136,0.261862172,-0.019063981,0.021314815,0.018311541,-0.000246489,-0.677974589,0,0.027788396,14.01927776,9.975644998,-0.726242771,0.811988344,0.697578544,-0.009390005,-25.82745641,0,1.058599534,762.2599827,542.4824754,767.5282346,551.2335012,8.751025798,5.268251966
MEDIUM DENSITY RESIDENTIAL,TALB,TR,,642.8557822,148,-0.04927269,-0.18974982,0.06987344,-0.000153737,0.050079809,-0.001652672,0,0,0.12087567,-0.316789123,-1.21995936,0.449237617,-0.000988422,0.321978336,-0.010625532,0,0,0.777146483,313.9826309,64.07059241,313.6965874,64.03984676,-0.030745646,-0.286043477
VERY LOW DENSITY RESIDENTIAL,TALB,VH,,1153.071859,149,0.336831287,-1.142449271,0.424344423,-0.000214283,0.109519989,-0.002314255,0,-0.001242841,0.27552495,3.884249783,-13.1744244,4.893428236,-0.002471054,1.262955699,-0.026687383,0,-0.014332113,3.177281233,464.3604921,81.71377763,468.9278139,81.03070569,-0.683071943,4.567321725
VERY LOW DENSITY RESIDENTIAL,TALB,VM,,1210.656227,150,0.126922693,-0.255294415,0.013714753,-0.001000034,0.143127327,-0.003367462,-0.000142862,-2.04E-05,-0.023939591,1.536748483,-3.091041449,0.166054829,-0.012108165,1.73295017,-0.040772391,-0.001729738,-0.000247105,-0.289854634,315.8754056,81.40113516,317.3925214,81.42076792,0.019632762,1.517115721
VERY LOW DENSITY RESIDENTIAL,TALB,VR,,1697.189546,151,0.923973058,-0.932620838,0.003770665,-0.000160144,0.077349587,-0.004833439,-0.125509276,-0.005066376,0.063096764,15.68279132,-15.82957192,0.064000299,-0.002718159,1.31287099,-0.082038993,-2.130295653,-0.085992679,1.070954804,604.9751157,169.8537657,619.9607588,170.550914,0.697148262,14.98564305
COMMERCIAL,WORC,CM,,11.63141843,15,-0.029752417,0.004250345,0,0,0,0,0,0,0.025502072,-0.003459476,0.000494211,0,0,0,0,0,0,0.002965265,0.207568536,0,0.20410906,0,0,-0.003459476
COMMERCIAL,WICO,C-1,,74.57248228,27,-0.498666357,-0.795546793,0,-0.125246434,0.368449827,-0.00033134,0,0,1.051341098,-0.371893627,-0.593300065,0,-0.093405841,0.274781205,-0.000247105,0,0,0.784065434,14.93776854,0,14.56587491,0,0,-0.371893627
COMMERCIAL,WICO,C-3,,40.7211147,29,0.118333141,-0.291888415,0,-0.000606837,0,0,0,0,0.17416211,0.048185553,-0.118857697,0,-0.000247105,0,0,0,0,0.07091925,6.109681015,0,6.157866568,0,0,0.048185553
COMMERCIAL,WICO,F-C1,FRUITLAND,9.55051789,31,-0.025873891,0.002587389,0,0,0,-0.018111723,0,0,0.041398225,-0.002471054,0.000247105,0,0,0,-0.001729738,0,0,0.003953686,0.319507282,0,0.317036228,0,0,-0.002471054
COMMERCIAL,WICO,F-C2,FRUITLAND,6.75154694,32,-1.895977453,0.303795615,0,0,0,0,0,0,1.592181838,-0.128000597,0.020509748,0,0,0,0,0,0,0.107490849,1.682540669,0,1.554540071,0,0,-0.128000597
COMMERCIAL,WICO,F-C5,FRUITLAND,24.12164728,35,0.51014659,-0.434341675,0,0,0,-0.001024391,0,0,-0.074780524,0.123058489,-0.10477269,0,0,0,-0.000247105,0,0,-0.018038694,1.797197574,0,1.920256063,0,0,0.123058489
COMMERCIAL,WICO,F-C6,FRUITLAND,3.23924548,36,-1.20546273,1.045243,0,0,-0.068665599,-0.053406577,0,0,0.282291905,-0.039042653,0.03385344,0,0,-0.002223949,-0.001729738,0,0,0.0091429,0.77195727,0,0.732914616,0,0,-0.039042653
COMMERCIAL,WICO,HB-CC,HEBRON,8.73651698,37,-0.964584748,0.234781625,0,0,2.047974655,-0.016972166,0,0,-1.301199366,-0.084262941,0.020509748,0,0,0.17890431,-0.001482632,0,0,-0.113668484,0.523616343,0,0.439353401,0,0,-0.084262941
COMMERCIAL,WICO,P-C1,PITTSVILLE,19.61183551,40,1.573801063,-1.785489277,0,0,-0.035281369,0,0,0,0.246969582,0.308634645,-0.350148352,0,0,-0.006918951,0,0,0,0.048432658,2.814777611,0,3.123412256,0,0,0.308634645
COMMERCIAL,WICO,S-H,SALISBURY,30.66044537,43,-1.539986462,0.228056603,0,0,-0.610031267,0,0,0,1.921961126,-0.472218419,0.069930828,0,0,-0.187058788,0,0,0,0.589346379,1.487080297,0,1.014861878,0,0,-0.472218419
COMMERCIAL,WICO,S-OSH,SALISBURY,20.07468679,44,-0.822427145,0.242542137,0,0,0,0,0,0,0.579885008,-0.165066407,0.048679764,0,0,0,0,0,0,0.116386643,3.739446018,0,3.574379611,0,0,-0.165066407
COMMERCIAL,WICO,S-SC,SALISBURY,0.29083036,46,15.15664691,-15.15664691,0,0,0,0,0,0,0,0.044231867,-0.044231867,0,0,0,0,0,0,0,0.000247105,0,0.044478972,0,0,0.044231867
COMMERCIAL,WICO,SH-H1,SHARPTOWN,15.23476996,47,-0.275696539,0.241639908,0,0,0,0,0,0,0.034056631,-0.042007918,0.036818705,0,0,0,0,0,0,0.005189213,0.212757749,0,0.170749831,0,0,-0.042007918
INDUSTRIAL,WICO,DM-LI,DELMAR,44.16055401,51,-0.085050667,-0.086729298,0,0,0.071621614,0,0,0,0.100158351,-0.037560021,-0.038301337,0,0,0.031629491,0,0,0,0.044231867,4.638662569,0,4.601102548,0,0,-0.037560021
INDUSTRIAL,WICO,F-M2,FRUITLAND,29.6761024,53,-0.165714571,0.061622504,0,0,0,-0.00249821,0,0,0.106590277,-0.049173975,0.0182858,0,0,0,-0.000741316,0,0,0.031629491,2.438188982,0,2.389015007,0,0,-0.049173975
LOW DENSITY RESIDENTIAL,WICO,SH-R1,SHARPTOWN,26.16318635,71,-0.695133124,0.741412367,0,0,-0.005666846,-0.000944474,0,0,-0.039667923,-0.181869574,0.193977739,0,0,-0.001482632,-0.000247105,0,0,-0.010378427,8.575792907,0,8.393923333,0,0,-0.181869574
MIXED USE,WICO,SH-R3,SHARPTOWN,0.01518828,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDIUM DENSITY RESIDENTIAL,WICO,DM-R3,DELMAR,9.96800145,76,-0.679209737,0.679209737,0,0,0,0,0,0,0,-0.06770688,0.06770688,0,0,0,0,0,0,0,1.18289355,0,1.11518667,0,0,-0.06770688
MEDIUM DENSITY RESIDENTIAL,WICO,F-R1D,FRUITLAND,4.74525418,79,1.765533045,-0.453101401,0,0,-0.005208062,-0.078120931,0,0,-1.229102651,0.083768731,-0.02149817,0,0,-0.000247105,-0.003706581,0,0,-0.058316874,0.219923806,0,0.303692537,0,0,0.083768731
MEDIUM DENSITY RESIDENTIAL,WICO,F-R1E,FRUITLAND,14.24438759,80,-0.567196281,-3.980781239,0,0,2.213279678,-0.036425449,0,0,2.371123291,-0.080803466,-0.567106893,0,0,0.31530649,-0.005189213,0,0,0.337793082,4.019663542,0,3.938860076,0,0,-0.080803466
HIGH DENSITY RESIDENTIAL,WICO,F-R4,FRUITLAND,76.44668442,82,1.740951802,11.84306221,0,-0.797747688,2.975068769,-0.01939419,0,0,-15.74194091,1.330909684,9.053694751,0,-0.609856127,2.274358102,-0.014826324,0,0,-12.03428009,16.36356669,0,17.69447638,0,0,1.330909684
MEDIUM DENSITY RESIDENTIAL,WICO,P-R4,PITTSVILLE,39.64565562,85,-0.274839988,-0.218750195,0,0,0.494836623,-0.00124644,0,0,0,-0.108973481,-0.086733995,0,0,0.196201688,-0.000494211,0,0,0,0.757872262,0,0.64889878,0,0,-0.108973481
COMMERCIAL,WICO,SH-H1,SHARPTOWN,11.99441957,95,0,-7.358816987,0,0,2.936936195,0,0,0,4.421880793,0,-0.882907594,0,0,0.3523723,0,0,0,0.530535294,0.004447897,0,0.004447897,0,0,0
MIXED USE,WICO,DM-C2,DELMAR,2.79539791,98,-4.162248144,1.634853305,0,0,0,0,0,0,2.527394839,-0.116386643,0.045714499,0,0,0,0,0,0,0.070672144,0.409453648,0,0.293067004,0,0,-0.116386643
MIXED USE,WICO,LBR,,2.31864548,99,-0.500852515,0,0,0,0,0,0,0,0.500852515,-0.011613954,0,0,0,0,0,0,0,0.011613954,0.171244042,0,0.159630088,0,0,-0.011613954
MIXED USE,WICO,LBR,,45.78270654,100,1.471310524,-0.841442813,0,-0.003778127,-0.268247003,0,0,0,-0.357842582,0.67360932,-0.385237319,0,-0.001729738,-0.122811384,0,0,0,-0.16383088,19.14968008,0,19.8232894,0,0,0.67360932
MIXED USE,WICO,S-CBD,SALISBURY,77.40133337,102,-1.596371216,0.717265771,-0.65278527,0,-0.531166108,0,0,0,2.063056823,-1.235774105,0.555245834,-0.505330543,0,-0.411183386,0,0,0,1.5970422,8.040562611,0,6.804788505,0,0,-1.235774105
MIXED USE,WICO,S-CU,SALISBURY,118.5009085,103,-0.997599838,-3.902608899,0.678551395,0,1.29350163,-0.006672909,0,0,2.934828621,-1.182152234,-4.624577561,0.804080972,0,1.532794796,-0.007907373,0,0,3.4777614,9.582747412,0,8.400595178,0,0,-1.182152234
MIXED USE,WICO,S-NB,SALISBURY,73.97268194,106,-0.636370317,-1.457805809,0,0,0.144978854,0,0,0,1.949197271,-0.470735787,-1.078367966,0,0,0.107243744,0,0,0,1.441860009,9.478468933,0,9.007733146,0,0,-0.470735787
MIXED USE,WICO,S-OSR,SALISBURY,34.65526656,107,-0.5567635,0.166102299,0,0,0,0,0,0,0.390661201,-0.192989317,0.057575558,0,0,0,0,0,0,0.135413759,8.181906899,0,7.988917582,0,0,-0.192989317
MIXED USE,WICO,S-RRM,SALISBURY,46.49036407,109,-1.036773302,-4.676905091,0,-0.006376873,1.698373897,0,0,0,4.021681369,-0.482102635,-2.174774625,0,-0.002965265,0.789748858,0,0,0,1.870093667,2.642545148,0,2.160442512,0,0,-0.482102635
MIXED USE,WICO,SH-R3,SHARPTOWN,14.51549071,110,-0.348864913,0.093597903,0,0,-0.028930261,-0.00680712,0,0,0.291004391,-0.050656607,0.013590797,0,0,-0.004200792,-0.000988422,0,0,0.042255023,2.950438476,0,2.899781869,0,0,-0.050656607
MIXED USE,WICO,SH-R3,SHARPTOWN,1.26279031,113,-1.273261508,0.293829579,0,0,0,0,0,0,0.979431929,-0.016061851,0.003706581,0,0,0,0,0,0,0.01235527,0.090934787,0,0.074872936,0,0,-0.016061851
COMMERCIAL,WASH,ORT,,114.473565,116,0.264876359,-0.216520772,0,0,-0.002374605,-0.002158732,0,0,-0.04382225,0.303198326,-0.247846716,0,0,-0.002718159,-0.002471054,0,0,-0.050162396,18.70612589,0,19.00932421,0,0,0.303198326
LOW DENSITY RESIDENTIAL,WASH,RV,,11.32074741,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.850220345,0,5.850220345,0,0,0
MEDIUM DENSITY RESIDENTIAL,WASH,RS,,1.07026742,135,0,0,0,0,0.023084026,0,0,0,-0.023084026,0,0,0,0,0.000247105,0,0,0,-0.000247105,0.662736683,0,0.662736683,0,0,0
LOW DENSITY RESIDENTIAL,WASH,RT,,63.02682407,136,-0.019208455,-0.358296484,0,0,0.28969486,0,0,0,0.087810079,-0.012108165,-0.225854336,0,0,0.182610891,0,0,0,0.05535161,3.02061641,0,3.008508245,0,0,-0.012108165
MEDIUM DENSITY RESIDENTIAL,WASH,RS,,0.63371898,137,0,-3.590944575,0,0,3.590944575,0,0,0,0,0,-0.022733697,0,0,0.022733697,0,0,0,0,0.124294016,0,0.124294016,0,0,0
RURAL LOW DENSITY RESIDENTIAL,TALB,WRC,,17902.66966,152,0.285373142,-0.41598555,0.096721664,0.008603799,0.009442925,-0.000630724,-0.009066146,0,0.02554089,51.09423066,-74.4795444,17.31739354,1.540455064,1.690695147,-0.112927168,-1.623235373,0,4.572932532,4665.3564,6101.976493,4742.484784,6075.942339,-26.03415358,77.12838424
RURAL LOW DENSITY RESIDENTIAL,TALB,RC,,57888.63514,153,0.317458246,-0.550273195,0.126376356,0.062194534,0.013567427,0.001756804,-0.022194376,-0.003386415,0.05450062,183.7895834,-318.5756948,73.16444946,36.00696336,7.85473935,1.017085826,-12.84923369,-1.960534244,31.55264142,14979.7865,4396.245836,15154.019,4405.802917,9.557080324,174.232503
VERY LOW DENSITY RESIDENTIAL,TALB,RR,,5115.418853,154,0.061463569,-0.248757192,0.020315581,-0.000767993,0.045113535,0.030869444,0,-0.000115923,0.091878979,3.144416215,-12.72617521,1.039325312,-0.039289759,2.307964436,1.579250611,0,-0.00593053,4.700438919,2538.099409,226.4542774,2540.738559,226.9595432,0.505265797,2.639150418
COMMERCIAL,SOME,C-1,,38.4172742,155,0.515815336,-1.020053768,0,0,0.184587283,0,0,0,0.319651149,0.198178531,-0.391909164,0,0,0.07091925,0,0,0,0.122811384,10.72255439,3.657250157,10.88294911,3.695033963,0.037783806,0.160394725
COMMERCIAL,SOME,C-2,,1305.394097,156,1.454599562,-1.708290297,-0.035570845,0,0.080644917,0.017454135,-0.027998552,-0.000113584,0.219274665,18.98708473,-22.29854419,-0.464311047,0,1.052669004,0.227831179,-0.365468887,-0.001482632,2.862221848,353.6906766,170.666488,373.4741847,169.8700646,-0.79642336,19.78350809
COMMERCIAL,SOME,C-2,,27.13656924,157,13.20864672,-13.20864672,0,0,0,0,0,0,0,3.584510932,-3.584510932,0,0,0,0,0,0,0,7.266656527,0.245594739,10.85116746,0.245594739,4.72E-16,3.584510932
INDUSTRIAL,SOME,I-1,,251.6240037,158,2.331898812,-2.710891295,0.028775537,-0.038694749,-0.008249642,0,0,-9.82E-05,0.397259547,5.867270618,-6.820850356,0.072401882,-0.097359528,-0.020756854,0,0,-0.000247105,0.999541343,21.89558296,0.109647123,27.76285358,0.109647123,2.50E-16,5.867270618
INDUSTRIAL,SOME,I-2,,1937.082973,159,0.607276603,-1.425666695,0.207515834,0.025923532,-5.10E-05,-0.000178607,-0.000893035,-0.000803732,0.58687713,11.76246415,-27.61402845,4.019416436,0.502118173,-0.000988422,-0.003459476,-0.017297378,-0.01556764,11.36734261,411.9105204,440.2435713,422.5198376,441.3967182,1.15314694,10.60931721
INDUSTRIAL,SOME,I-2,,3.60934074,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301010452,0.658994027,0.301010452,0.658994027,0,0
LOW DENSITY RESIDENTIAL,SOME,R-1,,7940.917292,161,1.297840069,-1.531558149,0.031873618,0.020449282,0.087128069,0.004079898,-0.000127594,-0.000914943,0.091229751,103.0520947,-121.6099573,2.530853507,1.623729583,6.918209884,0.323955179,-0.010131321,-0.072648988,7.243894801,2196.533416,1735.453917,2298.717595,1736.321833,0.867916248,102.1841785
MEDIUM DENSITY RESIDENTIAL,SOME,R-2,,6439.207601,163,4.486987452,-4.632100502,0.018068133,-0.000268643,0.013493533,0.001941902,0,-0.000441341,0.112319465,288.9084676,-298.252017,1.163372223,-0.017297378,0.868822586,0.125035332,0,-0.028417121,7.232033742,1661.27011,951.9077965,1905.085457,997.0009167,45.09312023,243.8153474
MEDIUM DENSITY RESIDENTIAL,SOME,R-3,,934.7746441,164,1.143640399,-1.553263569,-0.19660326,0.011050177,0.084065936,0.103469835,0,-5.29E-05,0.407693355,10.69002671,-14.51892488,-1.83772286,0.103290057,0.785795172,0.967170536,0,-0.000494211,3.810859479,338.9376916,111.9300799,348.7946224,112.7631758,0.833095878,9.856930832
MIXED USE,SOME,MRC,,5664.0586,165,1.110089569,-1.266375073,0.073736042,-0.000650099,0.025907966,-0.002002653,0,-0.055053336,0.114347585,62.87053271,-71.72184814,4.17608126,-0.036818705,1.467311865,-0.113421379,0,-3.117975937,6.476138323,1827.393653,271.5203563,1888.663189,273.1213525,1.600996169,61.26953654
OTHER,SOME,AP,,130.9047133,166,0.27997508,-0.27997508,0,0,0,0,0,0,0,0.366457308,-0.366457308,0,0,0,0,0,0,0,14.15832325,0.078901477,14.52478056,0.078901477,2.50E-16,0.366457308
VERY LOW DENSITY RESIDENTIAL,SOME,AR,,1790.974852,167,0.057444872,0.201477919,-0.19511662,0,0.019829037,0,-0.188092974,-1.38E-05,0.104471565,1.02869978,3.607985945,-3.494070356,0,0.35509046,0,-3.368293707,-0.000247105,1.870834983,597.3880376,487.0162187,606.3561522,479.0768039,-7.939414829,8.968114609
